material_number,plant,valuation_type,valuation_area,standard_price,moving_average_price,total_stock,total_value_stock,last_update_date
MAT0000696,PL03,,PL03,10.0,9.96,454.0,4521.84,2024-03-16
MAT0000697,PL01,,PL01,50.45,50.34,636.0,32016.24,2024-03-08
MAT0000698,PL02,,PL02,14.06,14.56,504.0,7338.24,2024-03-17
MAT0000699,PL01,,PL01,30.54,29.75,554.0,16481.5,2024-03-16
MAT0000700,PL02,,PL02,10.0,10.49,516.0,5412.84,2024-03-01
MAT0000701,PL01,,PL01,53.72,52.13,618.0,32216.34,2024-03-19
MAT0000702,PL03,,PL03,10.0,10.17,706.0,7180.02,2024-03-18
MAT0000703,PL03,,PL03,10.0,9.93,847.0,8410.71,2024-03-22
MAT0000704,PL02,,PL02,10.0,10.14,734.0,7442.76,2024-03-22
MAT0000705,PL03,,PL03,12.15,11.73,537.0,6299.01,2024-03-03
MAT0000706,PL03,,PL03,10.21,9.95,397.0,3950.15,2024-03-26
MAT0000707,PL03,,PL03,10.0,9.79,701.0,6862.79,2024-03-30
MAT0000708,PL02,,PL02,10.0,9.98,483.0,4820.34,2024-03-10
MAT0000709,PL02,,PL02,10.0,10.29,606.0,6235.74,2024-03-24
MAT0000710,PL02,,PL02,15.12,15.57,661.0,10291.77,2024-03-23
MAT0000711,PL01,,PL01,10.0,10.21,472.0,4819.12,2024-03-21
MAT0000712,PL02,,PL02,13.81,13.95,336.0,4687.2,2024-03-18
MAT0000713,PL03,,PL03,10.0,10.46,532.0,5564.72,2024-03-07
MAT0000714,PL03,,PL03,10.0,10.05,671.0,6743.55,2024-03-14
MAT0000715,PL01,,PL01,31.02,32.01,479.0,15332.79,2024-03-24
MAT0000716,PL01,,PL01,10.0,10.04,868.0,8714.72,2024-03-09
MAT0000717,PL02,,PL02,30.94,29.49,224.0,6605.76,2024-03-27
MAT0000718,PL03,,PL03,10.0,9.73,641.0,6236.93,2024-03-22
MAT0000719,PL02,,PL02,35.07,34.01,443.0,15066.43,2024-03-19
MAT0000720,PL01,,PL01,26.39,27.68,255.0,7058.4,2024-03-16
MAT0000721,PL02,,PL02,10.0,10.39,548.0,5693.72,2024-03-06
MAT0000722,PL03,,PL03,10.0,10.37,510.0,5288.7,2024-03-09
MAT0000723,PL02,,PL02,10.0,10.03,205.0,2056.15,2024-03-22
MAT0000724,PL01,,PL01,10.0,9.68,319.0,3087.92,2024-03-09
MAT0000725,PL02,,PL02,10.0,10.35,375.0,3881.25,2024-03-19
MAT0000726,PL01,,PL01,11.08,11.11,713.0,7921.43,2024-03-24
MAT0000727,PL01,,PL01,10.0,10.34,603.0,6235.02,2024-03-21
MAT0000728,PL02,,PL02,25.05,25.59,319.0,8163.21,2024-03-03
MAT0000729,PL01,,PL01,28.18,27.23,741.0,20177.43,2024-03-22
MAT0000730,PL03,,PL03,11.59,11.44,668.0,7641.92,2024-03-28
MAT0000731,PL03,,PL03,17.27,17.18,404.0,6940.72,2024-03-07
MAT0000732,PL02,,PL02,10.0,10.18,275.0,2799.5,2024-03-06
MAT0000733,PL03,,PL03,10.0,10.0,536.0,5360.0,2024-03-31
MAT0000734,PL02,,PL02,41.5,42.88,521.0,22340.48,2024-03-27
MAT0000735,PL03,,PL03,10.0,10.03,780.0,7823.4,2024-03-13
MAT0000736,PL01,,PL01,23.9,23.55,567.0,13352.85,2024-03-04
MAT0000737,PL03,,PL03,10.0,10.04,342.0,3433.68,2024-03-01
MAT0000738,PL03,,PL03,10.0,9.74,355.0,3457.7,2024-03-21
MAT0000739,PL03,,PL03,29.01,28.37,586.0,16624.82,2024-03-25
MAT0000740,PL01,,PL01,10.0,9.94,557.0,5536.58,2024-03-08
MAT0000741,PL02,,PL02,10.87,10.48,833.0,8729.84,2024-03-03
MAT0000742,PL02,,PL02,14.37,14.02,203.0,2846.06,2024-03-23
MAT0000743,PL03,,PL03,10.0,10.0,362.0,3620.0,2024-03-15
MAT0000744,PL01,,PL01,10.0,9.74,492.0,4792.08,2024-03-13
MAT0000745,PL03,,PL03,10.0,10.16,442.0,4490.72,2024-03-03
MAT0000746,PL01,,PL01,15.95,15.93,300.0,4779.0,2024-03-27
MAT0000747,PL03,,PL03,10.0,10.33,548.0,5660.84,2024-03-05
MAT0000748,PL01,,PL01,75.64,75.53,185.0,13973.05,2024-03-04
MAT0000749,PL02,,PL02,10.0,9.52,627.0,5969.04,2024-03-18
MAT0000750,PL03,,PL03,14.45,14.16,709.0,10039.44,2024-03-13
MAT0000751,PL01,,PL01,10.0,9.7,707.0,6857.9,2024-03-12
MAT0000752,PL02,,PL02,10.41,10.52,621.0,6532.92,2024-03-14
MAT0000753,PL02,,PL02,20.17,20.13,738.0,14855.94,2024-03-07
MAT0000754,PL02,,PL02,10.0,9.74,504.0,4908.96,2024-03-03
MAT0000755,PL02,,PL02,10.0,9.98,499.0,4980.02,2024-03-26
MAT0000756,PL01,,PL01,17.3,16.44,358.0,5885.52,2024-03-22
MAT0000757,PL03,,PL03,13.05,12.82,519.0,6653.58,2024-03-29
MAT0000758,PL02,,PL02,20.5,21.32,691.0,14732.12,2024-03-18
MAT0000759,PL03,,PL03,10.0,9.59,596.0,5715.64,2024-03-12
MAT0000760,PL01,,PL01,23.63,22.48,498.0,11195.04,2024-03-16
MAT0000761,PL03,,PL03,27.0,28.09,820.0,23033.8,2024-03-17
MAT0000762,PL03,,PL03,25.33,24.8,657.0,16293.6,2024-03-25
MAT0000763,PL01,,PL01,46.02,47.58,906.0,43107.48,2024-03-26
MAT0000764,PL03,,PL03,10.17,10.14,326.0,3305.64,2024-03-28
MAT0000765,PL03,,PL03,10.44,10.5,786.0,8253.0,2024-03-31
MAT0000766,PL03,,PL03,10.0,10.06,462.0,4647.72,2024-03-05
MAT0000767,PL02,,PL02,14.87,14.27,676.0,9646.52,2024-03-31
MAT0000768,PL03,,PL03,53.54,52.96,291.0,15411.36,2024-03-08
MAT0000769,PL03,,PL03,12.65,12.6,597.0,7522.2,2024-03-09
MAT0000770,PL02,,PL02,10.0,10.09,382.0,3854.38,2024-03-02
MAT0000771,PL01,,PL01,10.0,9.6,633.0,6076.8,2024-03-14
MAT0000772,PL03,,PL03,33.26,32.59,325.0,10591.75,2024-03-22
MAT0000773,PL01,,PL01,29.68,28.72,544.0,15623.68,2024-03-31
MAT0000774,PL02,,PL02,10.0,9.71,553.0,5369.63,2024-03-30
MAT0000775,PL03,,PL03,14.4,14.95,217.0,3244.15,2024-03-08
MAT0000776,PL01,,PL01,10.0,9.76,688.0,6714.88,2024-03-18
MAT0000777,PL01,,PL01,10.0,10.44,416.0,4343.04,2024-03-07
MAT0000778,PL03,,PL03,31.14,31.05,542.0,16829.1,2024-03-02
MAT0000779,PL01,,PL01,10.0,10.16,637.0,6471.92,2024-03-16
MAT0000780,PL01,,PL01,10.0,9.6,804.0,7718.4,2024-03-28
MAT0000781,PL02,,PL02,10.0,9.77,520.0,5080.4,2024-03-05
MAT0000782,PL02,,PL02,10.0,10.0,1284.0,12840.0,2024-03-06
MAT0000783,PL03,,PL03,10.0,9.64,488.0,4704.32,2024-03-18
MAT0000784,PL01,,PL01,10.0,10.18,504.0,5130.72,2024-03-30
MAT0000785,PL01,,PL01,14.7,14.14,399.0,5641.86,2024-03-13
MAT0000786,PL02,,PL02,27.85,27.36,521.0,14254.56,2024-03-15
MAT0000787,PL02,,PL02,12.41,12.99,295.0,3832.05,2024-03-03
MAT0000788,PL01,,PL01,13.5,13.66,113.0,1543.58,2024-03-09
MAT0000789,PL03,,PL03,10.0,10.03,643.0,6449.29,2024-03-29
MAT0000790,PL01,,PL01,11.19,10.76,660.0,7101.6,2024-03-02
MAT0000791,PL02,,PL02,10.0,9.64,384.0,3701.76,2024-03-04
MAT0000792,PL03,,PL03,10.0,10.04,502.0,5040.08,2024-03-10
MAT0000793,PL03,,PL03,10.48,10.24,436.0,4464.64,2024-03-19
MAT0000794,PL03,,PL03,20.98,19.98,584.0,11668.32,2024-03-08
MAT0000795,PL03,,PL03,17.91,17.88,826.0,14768.88,2024-03-18
MAT0000796,PL03,,PL03,10.0,9.76,847.0,8266.72,2024-03-19
MAT0000797,PL02,,PL02,10.0,10.04,510.0,5120.4,2024-03-13
MAT0000798,PL03,,PL03,10.0,10.39,622.0,6462.58,2024-03-28
MAT0000799,PL02,,PL02,10.0,10.1,567.0,5726.7,2024-03-02
MAT0000800,PL02,,PL02,10.0,9.91,474.0,4697.34,2024-03-24
MAT0000801,PL01,,PL01,10.0,10.44,660.0,6890.4,2024-03-04
MAT0000802,PL02,,PL02,10.69,11.1,309.0,3429.9,2024-03-15
MAT0000803,PL02,,PL02,10.0,9.78,348.0,3403.44,2024-03-30
MAT0000804,PL03,,PL03,78.46,77.4,674.0,52167.6,2024-03-02
MAT0000805,PL01,,PL01,10.0,10.16,380.0,3860.8,2024-03-15
MAT0000806,PL01,,PL01,10.0,9.95,269.0,2676.55,2024-03-23
MAT0000807,PL02,,PL02,10.0,10.07,713.0,7179.91,2024-03-28
MAT0000808,PL02,,PL02,10.0,9.53,567.0,5403.51,2024-03-05
MAT0000809,PL03,,PL03,10.0,9.81,496.0,4865.76,2024-03-18
MAT0000810,PL02,,PL02,23.11,23.72,846.0,20067.12,2024-03-19
MAT0000811,PL03,,PL03,16.0,16.5,611.0,10081.5,2024-03-27
MAT0000812,PL02,,PL02,10.0,10.39,309.0,3210.51,2024-03-14
MAT0000813,PL01,,PL01,10.0,10.31,245.0,2525.95,2024-03-04
MAT0000814,PL01,,PL01,10.0,9.61,882.0,8476.02,2024-03-02
MAT0000815,PL02,,PL02,10.0,9.86,792.0,7809.12,2024-03-05
MAT0000816,PL01,,PL01,10.0,10.48,1009.0,10574.32,2024-03-07
MAT0000817,PL01,,PL01,27.4,27.43,242.0,6638.06,2024-03-10
MAT0000818,PL02,,PL02,61.6,58.76,576.0,33845.76,2024-03-09
MAT0000819,PL01,,PL01,20.06,20.7,856.0,17719.2,2024-03-21
MAT0000820,PL01,,PL01,10.0,9.82,469.0,4605.58,2024-03-12
MAT0000821,PL01,,PL01,10.0,10.12,600.0,6072.0,2024-03-28
MAT0000822,PL01,,PL01,10.0,10.08,503.0,5070.24,2024-03-24
MAT0000823,PL01,,PL01,20.93,20.87,42.0,876.54,2024-03-05
MAT0000824,PL03,,PL03,10.0,10.13,644.0,6523.72,2024-03-17
MAT0000825,PL02,,PL02,10.0,10.37,539.0,5589.43,2024-03-13
MAT0000826,PL01,,PL01,10.0,9.71,402.0,3903.42,2024-03-07
MAT0000827,PL03,,PL03,11.96,11.43,105.0,1200.15,2024-03-22
MAT0000828,PL02,,PL02,16.87,17.01,498.0,8470.98,2024-03-12
MAT0000829,PL01,,PL01,10.0,9.89,503.0,4974.67,2024-03-24
MAT0000830,PL02,,PL02,12.68,13.2,360.0,4752.0,2024-03-28
MAT0000831,PL03,,PL03,34.73,35.35,433.0,15306.55,2024-03-23
MAT0000832,PL03,,PL03,17.12,16.4,196.0,3214.4,2024-03-12
MAT0000833,PL03,,PL03,10.0,10.03,590.0,5917.7,2024-03-01
MAT0000834,PL03,,PL03,12.2,12.51,433.0,5416.83,2024-03-07
MAT0000835,PL01,,PL01,18.37,18.74,698.0,13080.52,2024-03-26
MAT0000836,PL02,,PL02,10.0,10.33,183.0,1890.39,2024-03-16
MAT0000837,PL01,,PL01,10.0,9.58,613.0,5872.54,2024-03-30
MAT0000838,PL02,,PL02,11.14,11.63,411.0,4779.93,2024-03-06
MAT0000839,PL01,,PL01,10.0,10.13,310.0,3140.3,2024-03-13
MAT0000840,PL01,,PL01,11.17,11.54,677.0,7812.58,2024-03-21
MAT0000841,PL03,,PL03,16.55,17.33,492.0,8526.36,2024-03-24
MAT0000842,PL03,,PL03,31.51,31.27,475.0,14853.25,2024-03-19
MAT0000843,PL01,,PL01,14.57,15.26,532.0,8118.32,2024-03-09
MAT0000844,PL03,,PL03,11.9,11.35,308.0,3495.8,2024-03-31
MAT0000845,PL03,,PL03,13.88,13.47,400.0,5388.0,2024-03-19
MAT0000846,PL03,,PL03,10.0,10.27,635.0,6521.45,2024-03-17
MAT0000847,PL03,,PL03,10.0,9.6,390.0,3744.0,2024-03-09
MAT0000848,PL01,,PL01,10.0,10.16,305.0,3098.8,2024-03-31
MAT0000849,PL02,,PL02,14.44,13.96,878.0,12256.88,2024-03-27
MAT0000850,PL02,,PL02,39.67,41.16,394.0,16217.04,2024-03-11
MAT0000851,PL01,,PL01,10.0,10.3,319.0,3285.7,2024-03-13
MAT0000852,PL01,,PL01,10.0,9.54,452.0,4312.08,2024-03-04
MAT0000853,PL01,,PL01,15.89,16.19,394.0,6378.86,2024-03-23
MAT0000854,PL02,,PL02,10.0,10.07,594.0,5981.58,2024-03-21
MAT0000855,PL03,,PL03,17.52,18.27,331.0,6047.37,2024-03-16
MAT0000856,PL01,,PL01,10.0,9.65,391.0,3773.15,2024-03-07
MAT0000857,PL02,,PL02,10.0,10.48,521.0,5460.08,2024-03-15
MAT0000858,PL02,,PL02,14.99,15.5,441.0,6835.5,2024-03-05
MAT0000859,PL02,,PL02,10.0,9.52,285.0,2713.2,2024-03-27
MAT0000860,PL01,,PL01,10.0,10.45,718.0,7503.1,2024-03-16
MAT0000861,PL01,,PL01,10.09,10.37,664.0,6885.68,2024-03-24
MAT0000862,PL01,,PL01,15.54,15.19,837.0,12714.03,2024-03-26
MAT0000863,PL03,,PL03,14.85,15.55,651.0,10123.05,2024-03-26
MAT0000864,PL01,,PL01,45.0,44.36,673.0,29854.28,2024-03-15
MAT0000865,PL03,,PL03,10.0,9.52,625.0,5950.0,2024-03-21
MAT0000866,PL01,,PL01,10.0,9.88,727.0,7182.76,2024-03-14
MAT0000867,PL03,,PL03,66.3,65.22,53.0,3456.66,2024-03-06
MAT0000868,PL01,,PL01,35.41,33.71,574.0,19349.54,2024-03-22
MAT0000869,PL02,,PL02,10.0,10.42,543.0,5658.06,2024-03-07
MAT0000870,PL01,,PL01,13.07,12.65,621.0,7855.65,2024-03-07
MAT0000871,PL03,,PL03,10.0,9.62,404.0,3886.48,2024-03-27
MAT0000872,PL03,,PL03,10.0,9.64,556.0,5359.84,2024-03-11
MAT0000873,PL02,,PL02,10.3,9.95,420.0,4179.0,2024-03-11
MAT0000874,PL01,,PL01,11.67,11.64,445.0,5179.8,2024-03-27
MAT0000875,PL03,,PL03,10.0,9.54,752.0,7174.08,2024-03-11
MAT0000876,PL02,,PL02,10.0,10.17,193.0,1962.81,2024-03-01
MAT0000877,PL01,,PL01,30.98,32.53,61.0,1984.33,2024-03-01
MAT0000878,PL02,,PL02,10.0,9.56,648.0,6194.88,2024-03-07
MAT0000879,PL03,,PL03,10.9,10.96,350.0,3836.0,2024-03-15
MAT0000880,PL03,,PL03,15.22,15.17,434.0,6583.78,2024-03-12
MAT0000881,PL02,,PL02,12.8,12.95,396.0,5128.2,2024-03-01
MAT0000882,PL01,,PL01,10.0,10.41,596.0,6204.36,2024-03-04
MAT0000883,PL01,,PL01,10.0,10.07,565.0,5689.55,2024-03-16
MAT0000884,PL02,,PL02,10.0,9.86,0.0,0.0,2024-03-21
MAT0000885,PL02,,PL02,10.0,9.54,229.0,2184.66,2024-03-22
MAT0000886,PL01,,PL01,16.18,16.35,606.0,9908.1,2024-03-26
MAT0000887,PL01,,PL01,10.0,9.93,261.0,2591.73,2024-03-25
MAT0000888,PL03,,PL03,10.0,9.86,486.0,4791.96,2024-03-19
MAT0000889,PL02,,PL02,11.57,11.3,194.0,2192.2,2024-03-17
MAT0000890,PL02,,PL02,10.0,10.47,516.0,5402.52,2024-03-05
MAT0000891,PL03,,PL03,21.61,22.16,74.0,1639.84,2024-03-02
MAT0000892,PL02,,PL02,29.8,29.4,367.0,10789.8,2024-03-06
MAT0000893,PL01,,PL01,10.0,10.44,535.0,5585.4,2024-03-29
MAT0000894,PL03,,PL03,10.0,10.24,28.0,286.72,2024-03-05
MAT0000895,PL03,,PL03,10.0,9.75,143.0,1394.25,2024-03-12
MAT0000896,PL03,,PL03,15.78,15.02,909.0,13653.18,2024-03-16
MAT0000897,PL02,,PL02,10.0,9.58,551.0,5278.58,2024-03-07
MAT0000898,PL03,,PL03,21.74,21.44,320.0,6860.8,2024-03-24
MAT0000899,PL01,,PL01,10.54,10.9,289.0,3150.1,2024-03-06
MAT0000900,PL02,,PL02,28.83,28.58,557.0,15919.06,2024-03-14
MAT0000901,PL03,,PL03,33.74,32.63,374.0,12203.62,2024-03-26
MAT0000902,PL03,,PL03,11.1,11.19,637.0,7128.03,2024-03-11
MAT0000903,PL03,,PL03,10.0,10.03,510.0,5115.3,2024-03-15
MAT0000904,PL02,,PL02,10.0,10.38,324.0,3363.12,2024-03-19
MAT0000905,PL02,,PL02,32.92,32.17,591.0,19012.47,2024-03-22
MAT0000906,PL01,,PL01,12.58,12.32,332.0,4090.24,2024-03-31
MAT0000907,PL02,,PL02,21.75,22.4,410.0,9184.0,2024-03-26
MAT0000908,PL02,,PL02,10.0,9.98,515.0,5139.7,2024-03-27
MAT0000909,PL01,,PL01,10.0,10.28,707.0,7267.96,2024-03-09
MAT0000910,PL02,,PL02,10.0,9.7,452.0,4384.4,2024-03-02
MAT0000911,PL02,,PL02,10.0,9.74,138.0,1344.12,2024-03-30
MAT0000912,PL03,,PL03,26.13,26.06,439.0,11440.34,2024-03-05
MAT0000913,PL01,,PL01,42.29,42.09,440.0,18519.6,2024-03-22
MAT0000914,PL01,,PL01,11.65,11.82,476.0,5626.32,2024-03-21
MAT0000915,PL03,,PL03,11.71,11.58,732.0,8476.56,2024-03-18
MAT0000916,PL01,,PL01,47.76,45.71,759.0,34693.89,2024-03-20
MAT0000917,PL03,,PL03,12.85,13.11,608.0,7970.88,2024-03-24
MAT0000918,PL02,,PL02,58.52,60.77,396.0,24064.92,2024-03-13
MAT0000919,PL03,,PL03,17.66,17.85,313.0,5587.05,2024-03-26
MAT0000920,PL02,,PL02,22.6,22.75,480.0,10920.0,2024-03-03
MAT0000921,PL01,,PL01,10.0,10.01,306.0,3063.06,2024-03-31
MAT0000922,PL03,,PL03,10.0,10.32,109.0,1124.88,2024-03-28
MAT0000923,PL03,,PL03,10.0,10.34,473.0,4890.82,2024-03-14
MAT0000924,PL03,,PL03,18.86,19.33,675.0,13047.75,2024-03-01
MAT0000925,PL02,,PL02,13.77,13.48,508.0,6847.84,2024-03-04
MAT0000926,PL03,,PL03,17.62,16.76,541.0,9067.16,2024-03-16
MAT0000927,PL03,,PL03,17.17,17.1,226.0,3864.6,2024-03-18
MAT0000928,PL01,,PL01,17.22,16.5,622.0,10263.0,2024-03-01
MAT0000929,PL03,,PL03,16.86,16.5,833.0,13744.5,2024-03-14
MAT0000930,PL01,,PL01,53.23,53.29,343.0,18278.47,2024-03-10
MAT0000931,PL03,,PL03,17.68,18.37,568.0,10434.16,2024-03-03
MAT0000932,PL03,,PL03,12.66,13.01,984.0,12801.84,2024-03-15
MAT0000933,PL01,,PL01,11.75,12.21,441.0,5384.61,2024-03-11
MAT0000934,PL02,,PL02,10.0,10.13,390.0,3950.7,2024-03-09
MAT0000935,PL03,,PL03,19.34,19.92,540.0,10756.8,2024-03-08
MAT0000936,PL02,,PL02,28.59,28.8,384.0,11059.2,2024-03-19
MAT0000937,PL01,,PL01,11.03,10.74,958.0,10288.92,2024-03-24
MAT0000938,PL03,,PL03,10.81,10.71,970.0,10388.7,2024-03-02
MAT0000939,PL01,,PL01,44.98,45.5,116.0,5278.0,2024-03-10
MAT0000940,PL03,,PL03,27.08,27.67,778.0,21527.26,2024-03-13
MAT0000941,PL03,,PL03,30.65,29.58,383.0,11329.14,2024-03-13
MAT0000942,PL03,,PL03,10.0,9.88,747.0,7380.36,2024-03-24
MAT0000943,PL01,,PL01,13.57,14.07,755.0,10622.85,2024-03-08
MAT0000944,PL02,,PL02,12.27,12.7,584.0,7416.8,2024-03-27
MAT0000945,PL01,,PL01,12.24,11.66,757.0,8826.62,2024-03-04
MAT0000946,PL03,,PL03,10.0,10.15,339.0,3440.85,2024-03-27
MAT0000947,PL01,,PL01,10.0,9.98,490.0,4890.2,2024-03-31
MAT0000948,PL01,,PL01,26.95,26.65,574.0,15297.1,2024-03-13
MAT0000949,PL02,,PL02,33.8,34.47,525.0,18096.75,2024-03-27
MAT0000950,PL03,,PL03,10.0,9.82,297.0,2916.54,2024-03-16
MAT0000951,PL02,,PL02,13.36,13.23,915.0,12105.45,2024-03-08
MAT0000952,PL02,,PL02,10.0,9.68,648.0,6272.64,2024-03-02
MAT0000953,PL02,,PL02,10.0,10.07,761.0,7663.27,2024-03-23
MAT0000954,PL02,,PL02,19.18,19.51,653.0,12740.03,2024-03-23
MAT0000955,PL01,,PL01,10.0,10.1,571.0,5767.1,2024-03-10
MAT0000956,PL02,,PL02,12.53,12.74,722.0,9198.28,2024-03-09
MAT0000957,PL03,,PL03,10.0,10.48,491.0,5145.68,2024-03-24
MAT0000958,PL02,,PL02,10.44,10.84,335.0,3631.4,2024-03-27
MAT0000959,PL01,,PL01,10.0,9.87,374.0,3691.38,2024-03-22
MAT0000960,PL02,,PL02,13.68,13.81,506.0,6987.86,2024-03-24
MAT0000961,PL01,,PL01,15.91,16.55,689.0,11402.95,2024-03-16
MAT0000962,PL01,,PL01,51.68,51.27,467.0,23943.09,2024-03-24
MAT0000963,PL01,,PL01,27.38,28.4,146.0,4146.4,2024-03-19
MAT0000964,PL03,,PL03,10.0,9.89,450.0,4450.5,2024-03-10
MAT0000965,PL01,,PL01,13.13,13.53,521.0,7049.13,2024-03-23
MAT0000966,PL03,,PL03,10.0,9.8,779.0,7634.2,2024-03-02
MAT0000967,PL02,,PL02,10.0,10.13,518.0,5247.34,2024-03-19
MAT0000968,PL02,,PL02,49.2,51.07,633.0,32327.31,2024-03-20
MAT0000969,PL02,,PL02,15.34,14.59,663.0,9673.17,2024-03-13
MAT0000970,PL02,,PL02,14.2,13.67,517.0,7067.39,2024-03-21
MAT0000971,PL02,,PL02,10.0,10.26,815.0,8361.9,2024-03-15
MAT0000972,PL03,,PL03,16.6,16.05,670.0,10753.5,2024-03-24
MAT0000973,PL01,,PL01,10.73,11.22,689.0,7730.58,2024-03-02
MAT0000974,PL03,,PL03,33.56,32.92,960.0,31603.2,2024-03-21
MAT0000975,PL01,,PL01,10.0,10.08,330.0,3326.4,2024-03-27
MAT0000976,PL02,,PL02,30.01,30.62,414.0,12676.68,2024-03-20
MAT0000977,PL01,,PL01,36.65,37.11,355.0,13174.05,2024-03-23
MAT0000978,PL03,,PL03,21.33,22.07,885.0,19531.95,2024-03-11
MAT0000979,PL03,,PL03,10.0,9.85,254.0,2501.9,2024-03-26
MAT0000980,PL03,,PL03,63.47,63.22,545.0,34454.9,2024-03-31
MAT0000981,PL02,,PL02,11.6,11.79,464.0,5470.56,2024-03-17
MAT0000982,PL03,,PL03,32.55,33.05,701.0,23168.05,2024-03-01
MAT0000983,PL01,,PL01,10.65,11.05,586.0,6475.3,2024-03-09
MAT0000984,PL02,,PL02,22.28,21.21,633.0,13425.93,2024-03-22
MAT0000985,PL03,,PL03,16.66,16.08,399.0,6415.92,2024-03-10
MAT0000986,PL02,,PL02,10.0,9.71,272.0,2641.12,2024-03-15
MAT0000987,PL01,,PL01,12.29,12.51,705.0,8819.55,2024-03-01
MAT0000988,PL03,,PL03,10.0,9.52,762.0,7254.24,2024-03-05
MAT0000989,PL03,,PL03,10.0,10.27,248.0,2546.96,2024-03-19
MAT0000990,PL03,,PL03,10.0,10.31,205.0,2113.55,2024-03-10
MAT0000991,PL03,,PL03,28.72,28.88,43.0,1241.84,2024-03-10
MAT0000992,PL02,,PL02,21.42,20.4,781.0,15932.4,2024-03-20
MAT0000993,PL01,,PL01,10.0,10.08,419.0,4223.52,2024-03-11
MAT0000994,PL02,,PL02,11.39,11.73,506.0,5935.38,2024-03-18
MAT0000995,PL03,,PL03,14.58,14.05,547.0,7685.35,2024-03-31
MAT0000996,PL01,,PL01,45.23,44.7,349.0,15600.3,2024-03-14
MAT0000997,PL01,,PL01,10.0,10.43,482.0,5027.26,2024-03-12
MAT0000998,PL02,,PL02,10.0,9.71,422.0,4097.62,2024-03-24
MAT0000999,PL02,,PL02,11.44,11.52,732.0,8432.64,2024-03-11
MAT0001000,PL02,,PL02,10.0,10.43,707.0,7374.01,2024-03-11
MAT0001001,PL03,,PL03,10.07,10.52,536.0,5638.72,2024-03-10
MAT0001002,PL03,,PL03,10.0,9.78,475.0,4645.5,2024-03-08
MAT0001003,PL02,,PL02,10.0,10.02,722.0,7234.44,2024-03-10
MAT0001004,PL02,,PL02,21.66,21.72,371.0,8058.12,2024-03-16
MAT0001005,PL01,,PL01,20.02,20.08,396.0,7951.68,2024-03-29
MAT0001006,PL02,,PL02,11.59,11.32,598.0,6769.36,2024-03-26
MAT0001007,PL03,,PL03,46.91,45.39,440.0,19971.6,2024-03-11
MAT0001008,PL01,,PL01,11.26,10.89,600.0,6534.0,2024-03-20
MAT0001009,PL02,,PL02,31.57,30.01,651.0,19536.51,2024-03-03
MAT0001010,PL02,,PL02,12.28,12.55,576.0,7228.8,2024-03-15
MAT0001011,PL03,,PL03,20.79,20.19,873.0,17625.87,2024-03-08
MAT0001012,PL02,,PL02,77.8,77.15,455.0,35103.25,2024-03-01
MAT0001013,PL03,,PL03,10.0,10.17,165.0,1678.05,2024-03-15
MAT0001014,PL03,,PL03,10.0,10.13,811.0,8215.43,2024-03-16
MAT0001015,PL02,,PL02,28.06,28.14,625.0,17587.5,2024-03-26
MAT0001016,PL03,,PL03,10.7,10.81,719.0,7772.39,2024-03-29
MAT0001017,PL02,,PL02,10.0,9.77,407.0,3976.39,2024-03-05
MAT0001018,PL02,,PL02,14.1,13.45,404.0,5433.8,2024-03-26
MAT0001019,PL01,,PL01,16.98,16.62,427.0,7096.74,2024-03-09
MAT0001020,PL01,,PL01,10.0,9.76,534.0,5211.84,2024-03-04
MAT0001021,PL03,,PL03,19.29,19.22,395.0,7591.9,2024-03-12
MAT0001022,PL03,,PL03,10.0,9.58,641.0,6140.78,2024-03-05
MAT0001023,PL02,,PL02,10.0,9.71,838.0,8136.98,2024-03-28
MAT0001024,PL01,,PL01,19.18,18.4,720.0,13248.0,2024-03-13
MAT0001025,PL02,,PL02,31.04,32.4,76.0,2462.4,2024-03-30
MAT0001026,PL02,,PL02,10.0,10.14,60.0,608.4,2024-03-14
MAT0001027,PL03,,PL03,16.99,17.56,501.0,8797.56,2024-03-22
MAT0001028,PL02,,PL02,10.0,9.57,132.0,1263.24,2024-03-24
MAT0001029,PL02,,PL02,10.0,10.09,877.0,8848.93,2024-03-21
MAT0001030,PL01,,PL01,10.0,10.36,405.0,4195.8,2024-03-23
MAT0001031,PL02,,PL02,13.18,12.54,492.0,6169.68,2024-03-21
MAT0001032,PL02,,PL02,10.0,10.25,186.0,1906.5,2024-03-05
MAT0001033,PL01,,PL01,10.0,9.99,612.0,6113.88,2024-03-06
MAT0001034,PL01,,PL01,10.0,9.54,457.0,4359.78,2024-03-16
MAT0001035,PL01,,PL01,18.13,18.98,586.0,11122.28,2024-03-07
MAT0001036,PL01,,PL01,15.96,16.76,707.0,11849.32,2024-03-02
MAT0001037,PL03,,PL03,23.04,23.42,230.0,5386.6,2024-03-05
MAT0001038,PL02,,PL02,10.31,9.83,569.0,5593.27,2024-03-18
MAT0001039,PL03,,PL03,10.89,11.2,576.0,6451.2,2024-03-23
MAT0001040,PL01,,PL01,21.33,20.9,390.0,8151.0,2024-03-06
MAT0001041,PL03,,PL03,10.0,10.28,260.0,2672.8,2024-03-12
MAT0001042,PL02,,PL02,46.59,44.63,558.0,24903.54,2024-03-16
MAT0001043,PL03,,PL03,10.85,10.4,571.0,5938.4,2024-03-13
