preceding_doc,preceding_item,subsequent_doc,subsequent_item,document_category,quantity,date
OR202312060000004149,2,DL202312060000007887,2,C,38,06-12-2023
OR202312060000004149,3,DL202312060000006781,3,C,11,06-12-2023
OR202312060000004149,4,DL202312060000003512,4,C,10,06-12-2023
DL202312060000003512,4,BODL202312060000003512,4,N,3,07-12-2023
OR202312060000003618,1,DL202312060000003907,1,C,27,06-12-2023
OR202312060000003618,2,DL202312060000004450,2,C,44,06-12-2023
OR202312060000003618,3,DL202312060000005549,3,C,42,06-12-2023
DL202312060000005549,3,BODL202312060000005549,3,N,34,07-12-2023
OR202312060000003618,4,DL202312060000006279,4,C,10,06-12-2023
OR202312060000003618,5,DL202312060000006884,5,C,13,06-12-2023
OR202312060000008711,1,DL202312060000001838,1,C,6,06-12-2023
DL202312060000001838,1,BODL202312060000001838,1,N,5,07-12-2023
OR202312060000008711,2,DL202312060000008513,2,C,46,06-12-2023
DL202312060000008513,2,BODL202312060000008513,2,N,15,07-12-2023
OR202312060000008711,3,DL202312060000007871,3,C,10,06-12-2023
OR202312060000008711,4,DL202312060000008770,4,C,33,06-12-2023
DL202312060000008770,4,BODL202312060000008770,4,N,6,07-12-2023
OR202312060000004620,1,DL202312060000009814,1,C,34,06-12-2023
OR202312060000004620,2,DL202312060000003508,2,C,50,06-12-2023
OR202312060000004620,3,DL202312060000005913,3,C,23,06-12-2023
OR202312060000004620,4,DL202312060000008478,4,C,27,06-12-2023
OR202312060000004620,5,DL202312060000004128,5,C,23,06-12-2023
OR202312060000007686,1,DL202312060000008245,1,C,13,06-12-2023
OR202312060000007686,2,DL202312060000002261,2,C,30,06-12-2023
OR202312060000007686,3,DL202312060000004757,3,C,39,06-12-2023
OR202312060000007686,4,DL202312060000004926,4,C,39,06-12-2023
OR202312060000006841,1,DL202312060000002872,1,C,46,06-12-2023
OR202312060000006841,2,DL202312060000001787,2,C,5,06-12-2023
OR202312060000006841,3,DL202312060000006197,3,C,7,06-12-2023
DL202312060000006197,3,BODL202312060000006197,3,N,7,07-12-2023
OR202312060000006841,4,DL202312060000009786,4,C,47,06-12-2023
OR202312060000006841,5,DL202312060000007054,5,C,24,06-12-2023
OR202312060000001206,1,DL202312060000007361,1,C,13,06-12-2023
OR202312060000001206,2,DL202312060000002757,2,C,31,06-12-2023
OR202312060000001206,3,DL202312060000006182,3,C,13,06-12-2023
OR202312060000001206,4,DL202312060000001426,4,C,33,06-12-2023
OR202312060000001206,5,DL202312060000004149,5,C,32,06-12-2023
OR202312060000007506,1,DL202312060000002882,1,C,13,06-12-2023
DL202312060000002882,1,BODL202312060000002882,1,N,10,07-12-2023
OR202312060000007506,2,DL202312060000003408,2,C,28,06-12-2023
OR202312060000007506,3,DL202312060000003101,3,C,16,06-12-2023
OR202312060000007506,4,DL202312060000002634,4,C,50,06-12-2023
OR202312060000003019,1,DL202312060000006326,1,C,47,06-12-2023
OR202312060000003019,2,DL202312060000001934,2,C,48,06-12-2023
OR202312060000003019,3,DL202312060000005303,3,C,4,06-12-2023
DL202312060000005303,3,BODL202312060000005303,3,N,3,07-12-2023
OR202312060000003019,4,DL202312060000005603,4,C,11,06-12-2023
OR202312060000002487,1,DL202312060000006847,1,C,42,06-12-2023
OR202312060000002487,2,DL202312060000001081,2,C,20,06-12-2023
DL202312060000001081,2,BODL202312060000001081,2,N,20,07-12-2023
OR202312060000002487,3,DL202312060000005491,3,C,38,06-12-2023
OR202312060000002487,4,DL202312060000008308,4,C,43,06-12-2023
OR202312060000007236,1,DL202312060000006385,1,C,32,06-12-2023
OR202312060000007236,2,DL202312060000005276,2,C,42,06-12-2023
DL202312060000005276,2,BODL202312060000005276,2,N,42,07-12-2023
OR202312060000007236,3,DL202312060000003276,3,C,32,06-12-2023
DL202312060000003276,3,BODL202312060000003276,3,N,32,07-12-2023
OR202312060000007236,4,DL202312060000008344,4,C,17,06-12-2023
OR202312060000002730,1,DL202312060000002435,1,C,23,06-12-2023
OR202312060000002730,2,DL202312060000008538,2,C,30,06-12-2023
OR202312060000002730,3,DL202312060000004649,3,C,49,06-12-2023
OR202312060000002730,4,DL202312060000008738,4,C,4,06-12-2023
OR202312060000002730,5,DL202312060000006743,5,C,33,06-12-2023
OR202312060000004528,1,DL202312060000001982,1,C,21,06-12-2023
OR202312060000004528,2,DL202312060000008236,2,C,22,06-12-2023
DL202312060000008236,2,BODL202312060000008236,2,N,10,07-12-2023
OR202312060000004528,3,DL202312060000009423,3,C,18,06-12-2023
OR202312060000009437,1,DL202312060000004910,1,C,13,06-12-2023
OR202312060000009437,2,DL202312060000009833,2,C,10,06-12-2023
OR202312060000009437,3,DL202312060000003532,3,C,35,06-12-2023
DL202312060000003532,3,BODL202312060000003532,3,N,24,07-12-2023
OR202312060000009437,4,DL202312060000002686,4,C,15,06-12-2023
DL202312060000002686,4,BODL202312060000002686,4,N,14,07-12-2023
OR202312060000004090,1,DL202312060000005364,1,C,23,06-12-2023
DL202312060000005364,1,BODL202312060000005364,1,N,23,07-12-2023
OR202312060000004090,2,DL202312060000004265,2,C,36,06-12-2023
OR202312060000004090,3,DL202312060000005675,3,C,42,06-12-2023
DL202312060000005675,3,BODL202312060000005675,3,N,28,07-12-2023
OR202312060000004090,4,DL202312060000001345,4,C,12,06-12-2023
OR202312060000004090,5,DL202312060000001160,5,C,44,06-12-2023
OR202312070000005385,1,DL202312070000002336,1,C,46,07-12-2023
OR202312070000006645,1,DL202312070000009739,1,C,33,07-12-2023
OR202312070000006645,2,DL202312070000003890,2,C,5,07-12-2023
DL202312070000003890,2,BODL202312070000003890,2,N,4,08-12-2023
OR202312070000006645,3,DL202312070000006634,3,C,50,07-12-2023
DL202312070000006634,3,BODL202312070000006634,3,N,30,08-12-2023
OR202312070000006645,4,DL202312070000008637,4,C,11,07-12-2023
OR202312070000001025,1,DL202312070000005920,1,C,2,07-12-2023
DL202312070000005920,1,BODL202312070000005920,1,N,2,08-12-2023
OR202312070000001025,2,DL202312070000005028,2,C,40,07-12-2023
OR202312070000001025,3,DL202312070000002991,3,C,16,07-12-2023
OR202312070000001025,4,DL202312070000002230,4,C,44,07-12-2023
OR202312070000001025,5,DL202312070000003073,5,C,44,07-12-2023
OR202312070000008661,1,DL202312070000008529,1,C,2,07-12-2023
OR202312070000008661,2,DL202312070000006557,2,C,16,07-12-2023
OR202312070000008670,1,DL202312070000009041,1,C,28,07-12-2023
OR202312070000008670,2,DL202312070000008169,2,C,38,07-12-2023
OR202312070000003647,1,DL202312070000002448,1,C,26,07-12-2023
OR202312070000003647,2,DL202312070000006578,2,C,13,07-12-2023
OR202312070000003647,3,DL202312070000002958,3,C,26,07-12-2023
OR202312070000003647,4,DL202312070000004717,4,C,16,07-12-2023
OR202312070000003647,5,DL202312070000007701,5,C,37,07-12-2023
DL202312070000007701,5,BODL202312070000007701,5,N,12,08-12-2023
OR202312070000001146,1,DL202312070000002958,1,C,16,07-12-2023
OR202312070000001423,1,DL202312070000002884,1,C,28,07-12-2023
OR202312070000001423,2,DL202312070000004839,2,C,50,07-12-2023
OR202312070000004409,1,DL202312070000006569,1,C,15,07-12-2023
OR202312070000004409,2,DL202312070000008395,2,C,28,07-12-2023
OR202312070000004409,3,DL202312070000009913,3,C,20,07-12-2023
OR202312070000009518,1,DL202312070000008549,1,C,2,07-12-2023
OR202312070000009518,2,DL202312070000001346,2,C,7,07-12-2023
OR202312070000003107,1,DL202312070000009667,1,C,27,07-12-2023
OR202312070000003107,2,DL202312070000004931,2,C,9,07-12-2023
OR202312070000003107,3,DL202312070000004696,3,C,41,07-12-2023
OR202312070000001608,1,DL202312070000009812,1,C,19,07-12-2023
DL202312070000009812,1,BODL202312070000009812,1,N,3,08-12-2023
OR202312070000001608,2,DL202312070000001994,2,C,16,07-12-2023
OR202312070000008148,1,DL202312070000002664,1,C,47,07-12-2023
OR202312070000008148,2,DL202312070000002719,2,C,6,07-12-2023
DL202312070000002719,2,BODL202312070000002719,2,N,2,08-12-2023
OR202312070000008148,3,DL202312070000007521,3,C,12,07-12-2023
OR202312070000008148,4,DL202312070000001871,4,C,32,07-12-2023
OR202312070000008148,5,DL202312070000003840,5,C,20,07-12-2023
OR202312070000007647,1,DL202312070000002114,1,C,16,07-12-2023
OR202312070000006022,1,DL202312070000006604,1,C,28,07-12-2023
OR202312070000006022,2,DL202312070000005538,2,C,2,07-12-2023
DL202312070000005538,2,BODL202312070000005538,2,N,2,08-12-2023
OR202312070000006022,3,DL202312070000006362,3,C,47,07-12-2023
OR202312070000006022,4,DL202312070000008807,4,C,20,07-12-2023
DL202312070000008807,4,BODL202312070000008807,4,N,4,08-12-2023
OR202312070000006022,5,DL202312070000009306,5,C,44,07-12-2023
OR202312070000009328,1,DL202312070000005270,1,C,9,07-12-2023
DL202312070000005270,1,BODL202312070000005270,1,N,9,08-12-2023
OR202312070000001519,1,DL202312070000006352,1,C,48,07-12-2023
OR202312070000001519,2,DL202312070000005164,2,C,38,07-12-2023
OR202312070000001519,3,DL202312070000007224,3,C,31,07-12-2023
OR202312070000001519,4,DL202312070000002443,4,C,32,07-12-2023
OR202312070000001519,5,DL202312070000002833,5,C,44,07-12-2023
DL202312070000002833,5,BODL202312070000002833,5,N,18,08-12-2023
OR202312070000003092,1,DL202312070000003128,1,C,4,07-12-2023
OR202312070000003092,2,DL202312070000006003,2,C,32,07-12-2023
OR202312070000004956,1,DL202312070000004091,1,C,42,07-12-2023
OR202312070000008295,1,DL202312070000005624,1,C,38,07-12-2023
OR202312070000006305,1,DL202312070000006746,1,C,26,07-12-2023
DL202312070000006746,1,BODL202312070000006746,1,N,16,08-12-2023
OR202312070000006305,2,DL202312070000009194,2,C,35,07-12-2023
OR202312070000006305,3,DL202312070000007000,3,C,3,07-12-2023
DL202312070000007000,3,BODL202312070000007000,3,N,2,08-12-2023
OR202312070000006305,4,DL202312070000007847,4,C,39,07-12-2023
OR202312070000003066,1,DL202312070000004117,1,C,35,07-12-2023
OR202312070000003066,2,DL202312070000005499,2,C,13,07-12-2023
OR202312070000003066,3,DL202312070000002991,3,C,33,07-12-2023
DL202312070000002991,3,BODL202312070000002991,3,N,33,08-12-2023
OR202312070000003066,4,DL202312070000004609,4,C,10,07-12-2023
OR202312070000003066,5,DL202312070000001847,5,C,12,07-12-2023
OR202312070000008678,1,DL202312070000008196,1,C,41,07-12-2023
OR202312070000008678,2,DL202312070000008094,2,C,28,07-12-2023
OR202312070000009949,1,DL202312070000009989,1,C,39,07-12-2023
OR202312070000009949,2,DL202312070000002078,2,C,47,07-12-2023
OR202312070000009949,3,DL202312070000003785,3,C,6,07-12-2023
OR202312070000009949,4,DL202312070000001953,4,C,22,07-12-2023
OR202312070000009949,5,DL202312070000007994,5,C,37,07-12-2023
OR202312070000009328,1,DL202312070000007528,1,C,28,07-12-2023
OR202312070000009328,2,DL202312070000008990,2,C,48,07-12-2023
OR202312070000009328,3,DL202312070000005258,3,C,34,07-12-2023
DL202312070000005258,3,BODL202312070000005258,3,N,1,08-12-2023
OR202312070000003530,1,DL202312070000004058,1,C,36,07-12-2023
OR202312070000003530,2,DL202312070000006544,2,C,41,07-12-2023
OR202312070000003530,3,DL202312070000004063,3,C,36,07-12-2023
OR202312070000003530,4,DL202312070000006835,4,C,4,07-12-2023
OR202312070000003530,5,DL202312070000007083,5,C,20,07-12-2023
DL202312070000007083,5,BODL202312070000007083,5,N,20,08-12-2023
OR202312070000003580,1,DL202312070000006828,1,C,33,07-12-2023
OR202312070000003580,2,DL202312070000009307,2,C,20,07-12-2023
OR202312070000003580,3,DL202312070000002031,3,C,16,07-12-2023
OR202312070000003580,4,DL202312070000008563,4,C,47,07-12-2023
OR202312070000003580,5,DL202312070000006283,5,C,50,07-12-2023
OR202312070000003159,1,DL202312070000007232,1,C,8,07-12-2023
OR202312070000003159,2,DL202312070000007657,2,C,14,07-12-2023
OR202312070000003159,3,DL202312070000008253,3,C,45,07-12-2023
DL202312070000008253,3,BODL202312070000008253,3,N,1,08-12-2023
OR202312070000003159,4,DL202312070000006681,4,C,38,07-12-2023
OR202312070000003159,5,DL202312070000007471,5,C,33,07-12-2023
OR202312070000002949,1,DL202312070000004599,1,C,17,07-12-2023
OR202312070000002949,2,DL202312070000003544,2,C,31,07-12-2023
OR202312080000002697,1,DL202312080000005163,1,C,4,08-12-2023
OR202312080000002697,2,DL202312080000003252,2,C,43,08-12-2023
OR202312080000002697,3,DL202312080000008818,3,C,15,08-12-2023
OR202312080000002697,4,DL202312080000002934,4,C,47,08-12-2023
OR202312080000002163,1,DL202312080000008814,1,C,19,08-12-2023
DL202312080000008814,1,BODL202312080000008814,1,N,19,09-12-2023
OR202312080000002163,2,DL202312080000003827,2,C,28,08-12-2023
OR202312080000002163,3,DL202312080000002541,3,C,26,08-12-2023
OR202312080000002204,1,DL202312080000005811,1,C,13,08-12-2023
OR202312080000002204,2,DL202312080000009277,2,C,31,08-12-2023
OR202312080000002204,3,DL202312080000003892,3,C,3,08-12-2023
OR202312080000008599,1,DL202312080000005666,1,C,37,08-12-2023
OR202312080000008599,2,DL202312080000002470,2,C,37,08-12-2023
OR202312080000008599,3,DL202312080000009629,3,C,37,08-12-2023
OR202312080000008599,4,DL202312080000004225,4,C,24,08-12-2023
DL202312080000004225,4,BODL202312080000004225,4,N,24,09-12-2023
OR202312080000008599,5,DL202312080000009546,5,C,48,08-12-2023
OR202312080000008640,1,DL202312080000002213,1,C,29,08-12-2023
OR202312080000008640,2,DL202312080000002873,2,C,23,08-12-2023
OR202312080000008640,3,DL202312080000004755,3,C,27,08-12-2023
OR202312080000002340,1,DL202312080000002216,1,C,18,08-12-2023
OR202312080000002340,2,DL202312080000002380,2,C,49,08-12-2023
OR202312080000002340,3,DL202312080000005696,3,C,40,08-12-2023
OR202312080000002340,4,DL202312080000001327,4,C,37,08-12-2023
OR202312080000002340,5,DL202312080000002463,5,C,15,08-12-2023
DL202312080000002463,5,BODL202312080000002463,5,N,14,09-12-2023
OR202312080000005931,1,DL202312080000001322,1,C,44,08-12-2023
OR202312080000005931,2,DL202312080000007564,2,C,14,08-12-2023
OR202312080000005931,3,DL202312080000006836,3,C,5,08-12-2023
DL202312080000006836,3,BODL202312080000006836,3,N,5,09-12-2023
OR202312080000005931,4,DL202312080000008045,4,C,1,08-12-2023
OR202312080000004943,1,DL202312080000007086,1,C,34,08-12-2023
OR202312080000004943,2,DL202312080000001199,2,C,19,08-12-2023
OR202312080000004943,3,DL202312080000003589,3,C,24,08-12-2023
OR202312080000004943,4,DL202312080000008938,4,C,4,08-12-2023
DL202312080000008938,4,BODL202312080000008938,4,N,4,09-12-2023
OR202312080000004717,1,DL202312080000001677,1,C,37,08-12-2023
OR202312080000002214,1,DL202312080000004997,1,C,43,08-12-2023
OR202312080000001514,1,DL202312080000005748,1,C,25,08-12-2023
DL202312080000005748,1,BODL202312080000005748,1,N,25,09-12-2023
OR202312080000001514,2,DL202312080000005627,2,C,30,08-12-2023
OR202312080000001514,3,DL202312080000003814,3,C,41,08-12-2023
DL202312080000003814,3,BODL202312080000003814,3,N,37,09-12-2023
OR202312080000001514,4,DL202312080000002141,4,C,43,08-12-2023
OR202312080000001514,5,DL202312080000007370,5,C,23,08-12-2023
OR202312080000007190,1,DL202312080000009840,1,C,50,08-12-2023
OR202312080000007190,2,DL202312080000005128,2,C,3,08-12-2023
DL202312080000005128,2,BODL202312080000005128,2,N,1,09-12-2023
OR202312080000007190,3,DL202312080000008025,3,C,21,08-12-2023
OR202312080000007190,4,DL202312080000006637,4,C,28,08-12-2023
OR202312080000004641,1,DL202312080000003681,1,C,29,08-12-2023
OR202312080000004641,2,DL202312080000002504,2,C,4,08-12-2023
DL202312080000002504,2,BODL202312080000002504,2,N,1,09-12-2023
OR202312080000004641,3,DL202312080000007066,3,C,1,08-12-2023
DL202312080000007066,3,BODL202312080000007066,3,N,1,09-12-2023
OR202312080000004641,4,DL202312080000007481,4,C,39,08-12-2023
OR202312080000003828,1,DL202312080000006389,1,C,19,08-12-2023
OR202312080000003828,2,DL202312080000004542,2,C,23,08-12-2023
OR202312080000003828,3,DL202312080000005650,3,C,30,08-12-2023
OR202312080000003828,4,DL202312080000009586,4,C,9,08-12-2023
OR202312080000008141,1,DL202312080000008476,1,C,15,08-12-2023
OR202312080000008141,2,DL202312080000002646,2,C,20,08-12-2023
DL202312080000002646,2,BODL202312080000002646,2,N,20,09-12-2023
OR202312080000008141,3,DL202312080000002198,3,C,9,08-12-2023
OR202312080000008251,1,DL202312080000006931,1,C,32,08-12-2023
DL202312080000006931,1,BODL202312080000006931,1,N,8,09-12-2023
OR202312080000008251,2,DL202312080000007428,2,C,9,08-12-2023
DL202312080000007428,2,BODL202312080000007428,2,N,7,09-12-2023
OR202312080000008251,3,DL202312080000002844,3,C,1,08-12-2023
DL202312080000002844,3,BODL202312080000002844,3,N,1,09-12-2023
OR202312080000008251,4,DL202312080000008518,4,C,14,08-12-2023
OR202312080000004127,1,DL202312080000003232,1,C,13,08-12-2023
OR202312080000009829,1,DL202312080000008156,1,C,8,08-12-2023
OR202312080000009829,2,DL202312080000004524,2,C,13,08-12-2023
OR202312080000009829,3,DL202312080000007459,3,C,18,08-12-2023
DL202312080000007459,3,BODL202312080000007459,3,N,18,09-12-2023
OR202312080000009829,4,DL202312080000002623,4,C,12,08-12-2023
OR202312080000009829,5,DL202312080000007185,5,C,1,08-12-2023
OR202312080000008813,1,DL202312080000006602,1,C,33,08-12-2023
OR202312080000008813,2,DL202312080000002431,2,C,50,08-12-2023
OR202312080000007257,1,DL202312080000006719,1,C,15,08-12-2023
OR202312080000006226,1,DL202312080000001328,1,C,42,08-12-2023
OR202312080000006226,2,DL202312080000006537,2,C,15,08-12-2023
OR202312080000006226,3,DL202312080000006178,3,C,5,08-12-2023
OR202312080000009210,1,DL202312080000006922,1,C,39,08-12-2023
OR202312080000009210,2,DL202312080000007375,2,C,47,08-12-2023
OR202312080000009210,3,DL202312080000005918,3,C,28,08-12-2023
OR202312080000009210,4,DL202312080000002467,4,C,30,08-12-2023
OR202312080000009210,5,DL202312080000001184,5,C,9,08-12-2023
OR202312080000009957,1,DL202312080000004999,1,C,12,08-12-2023
OR202312080000009957,2,DL202312080000007980,2,C,7,08-12-2023
OR202312080000009957,3,DL202312080000006110,3,C,45,08-12-2023
OR202312080000009957,4,DL202312080000007926,4,C,34,08-12-2023
OR202312080000009957,5,DL202312080000002736,5,C,19,08-12-2023
DL202312080000002736,5,BODL202312080000002736,5,N,6,09-12-2023
OR202312080000007483,1,DL202312080000004866,1,C,20,08-12-2023
OR202312080000007483,2,DL202312080000007725,2,C,19,08-12-2023
OR202312080000007483,3,DL202312080000003728,3,C,15,08-12-2023
OR202312080000007483,4,DL202312080000009767,4,C,26,08-12-2023
OR202312080000001017,1,DL202312080000004684,1,C,34,08-12-2023
OR202312080000001017,2,DL202312080000004199,2,C,15,08-12-2023
OR202312080000005625,1,DL202312080000002173,1,C,5,08-12-2023
OR202312110000007491,1,DL202312110000003352,1,C,6,11-12-2023
DL202312110000003352,1,BODL202312110000003352,1,N,6,12-12-2023
OR202312110000007491,2,DL202312110000001484,2,C,7,11-12-2023
OR202312110000007491,3,DL202312110000002413,3,C,24,11-12-2023
DL202312110000002413,3,BODL202312110000002413,3,N,15,12-12-2023
OR202312110000007491,4,DL202312110000005083,4,C,45,11-12-2023
OR202312110000007491,5,DL202312110000008473,5,C,42,11-12-2023
DL202312110000008473,5,BODL202312110000008473,5,N,1,12-12-2023
OR202312110000007536,1,DL202312110000003138,1,C,30,11-12-2023
OR202312110000007449,1,DL202312110000002685,1,C,19,11-12-2023
OR202312110000007449,2,DL202312110000008638,2,C,38,11-12-2023
OR202312110000007449,3,DL202312110000009340,3,C,15,11-12-2023
OR202312110000007449,4,DL202312110000008127,4,C,26,11-12-2023
OR202312110000007449,5,DL202312110000008037,5,C,50,11-12-2023
OR202312110000004610,1,DL202312110000008695,1,C,8,11-12-2023
OR202312110000004610,2,DL202312110000008414,2,C,31,11-12-2023
OR202312110000004610,3,DL202312110000003639,3,C,8,11-12-2023
OR202312110000004610,4,DL202312110000006285,4,C,20,11-12-2023
OR202312110000004066,1,DL202312110000007925,1,C,12,11-12-2023
DL202312110000007925,1,BODL202312110000007925,1,N,1,12-12-2023
OR202312110000004066,2,DL202312110000004045,2,C,48,11-12-2023
OR202312110000004066,3,DL202312110000004736,3,C,22,11-12-2023
OR202312110000008511,1,DL202312110000005397,1,C,17,11-12-2023
OR202312110000002976,1,DL202312110000007300,1,C,44,11-12-2023
OR202312110000001059,1,DL202312110000002488,1,C,24,11-12-2023
OR202312110000008480,1,DL202312110000001679,1,C,12,11-12-2023
OR202312110000008480,2,DL202312110000003082,2,C,26,11-12-2023
OR202312110000008480,3,DL202312110000003432,3,C,21,11-12-2023
OR202312110000008480,4,DL202312110000004511,4,C,1,11-12-2023
OR202312110000008480,5,DL202312110000001922,5,C,17,11-12-2023
OR202312110000009746,1,DL202312110000001936,1,C,24,11-12-2023
OR202312110000009746,2,DL202312110000007384,2,C,38,11-12-2023
DL202312110000007384,2,BODL202312110000007384,2,N,7,12-12-2023
OR202312110000009210,1,DL202312110000006902,1,C,23,11-12-2023
OR202312110000009210,2,DL202312110000009311,2,C,30,11-12-2023
OR202312110000009210,3,DL202312110000008265,3,C,12,11-12-2023
OR202312110000009210,4,DL202312110000006315,4,C,25,11-12-2023
OR202312110000009210,5,DL202312110000003573,5,C,41,11-12-2023
OR202312110000005103,1,DL202312110000001768,1,C,47,11-12-2023
OR202312110000005103,2,DL202312110000005085,2,C,10,11-12-2023
OR202312110000004441,1,DL202312110000005978,1,C,29,11-12-2023
DL202312110000005978,1,BODL202312110000005978,1,N,23,12-12-2023
OR202312110000004441,2,DL202312110000003756,2,C,47,11-12-2023
OR202312110000004402,1,DL202312110000006007,1,C,44,11-12-2023
DL202312110000006007,1,BODL202312110000006007,1,N,37,12-12-2023
OR202312110000004402,2,DL202312110000004032,2,C,46,11-12-2023
OR202312110000004787,1,DL202312110000005060,1,C,10,11-12-2023
OR202312110000004787,2,DL202312110000008100,2,C,47,11-12-2023
DL202312110000008100,2,BODL202312110000008100,2,N,3,12-12-2023
OR202312110000004787,3,DL202312110000007670,3,C,38,11-12-2023
DL202312110000007670,3,BODL202312110000007670,3,N,17,12-12-2023
OR202312110000003571,1,DL202312110000006678,1,C,24,11-12-2023
OR202312110000003571,2,DL202312110000001853,2,C,15,11-12-2023
OR202312110000004819,1,DL202312110000007086,1,C,16,11-12-2023
OR202312110000004819,2,DL202312110000009840,2,C,23,11-12-2023
DL202312110000009840,2,BODL202312110000009840,2,N,23,12-12-2023
OR202312110000004819,3,DL202312110000004540,3,C,38,11-12-2023
OR202312110000007065,1,DL202312110000008038,1,C,21,11-12-2023
OR202312110000007065,2,DL202312110000007897,2,C,17,11-12-2023
OR202312110000001673,1,DL202312110000004334,1,C,32,11-12-2023
OR202312110000001673,2,DL202312110000006381,2,C,22,11-12-2023
DL202312110000006381,2,BODL202312110000006381,2,N,22,12-12-2023
OR202312110000001673,3,DL202312110000008587,3,C,32,11-12-2023
OR202312110000001673,4,DL202312110000002298,4,C,49,11-12-2023
OR202312110000001309,1,DL202312110000006143,1,C,5,11-12-2023
OR202312110000005159,1,DL202312110000003910,1,C,31,11-12-2023
OR202312110000002894,1,DL202312110000002881,1,C,47,11-12-2023
OR202312110000002894,2,DL202312110000005134,2,C,6,11-12-2023
DL202312110000005134,2,BODL202312110000005134,2,N,2,12-12-2023
OR202312110000007330,1,DL202312110000005994,1,C,13,11-12-2023
OR202312110000008905,1,DL202312110000002896,1,C,24,11-12-2023
OR202312110000008905,2,DL202312110000008398,2,C,27,11-12-2023
OR202312110000008905,3,DL202312110000004875,3,C,38,11-12-2023
DL202312110000004875,3,BODL202312110000004875,3,N,24,12-12-2023
OR202312110000005905,1,DL202312110000007071,1,C,16,11-12-2023
OR202312110000005905,2,DL202312110000003613,2,C,2,11-12-2023
OR202312110000005905,3,DL202312110000008488,3,C,36,11-12-2023
OR202312110000005905,4,DL202312110000006216,4,C,9,11-12-2023
OR202312110000001896,1,DL202312110000002989,1,C,34,11-12-2023
OR202312110000001896,2,DL202312110000009372,2,C,35,11-12-2023
OR202312110000006478,1,DL202312110000004769,1,C,29,11-12-2023
OR202312110000006478,2,DL202312110000006800,2,C,22,11-12-2023
OR202312110000003255,1,DL202312110000009842,1,C,49,11-12-2023
DL202312110000009842,1,BODL202312110000009842,1,N,17,12-12-2023
OR202312110000003255,2,DL202312110000001391,2,C,6,11-12-2023
OR202312110000008388,1,DL202312110000002664,1,C,21,11-12-2023
OR202312110000008388,2,DL202312110000006918,2,C,1,11-12-2023
OR202312110000008388,3,DL202312110000003793,3,C,4,11-12-2023
DL202312110000003793,3,BODL202312110000003793,3,N,2,12-12-2023
OR202312110000008388,4,DL202312110000007994,4,C,42,11-12-2023
OR202312110000008388,5,DL202312110000006955,5,C,34,11-12-2023
OR202312110000002052,1,DL202312110000009650,1,C,23,11-12-2023
DL202312110000009650,1,BODL202312110000009650,1,N,1,12-12-2023
OR202312110000002118,1,DL202312110000005281,1,C,27,11-12-2023
OR202312110000002118,2,DL202312110000007972,2,C,25,11-12-2023
OR202312110000002118,3,DL202312110000003257,3,C,42,11-12-2023
OR202312110000008349,1,DL202312110000006838,1,C,45,11-12-2023
OR202312120000004425,1,DL202312120000002313,1,C,28,12-12-2023
OR202312120000004425,2,DL202312120000002665,2,C,2,12-12-2023
OR202312120000004425,3,DL202312120000005677,3,C,33,12-12-2023
DL202312120000005677,3,BODL202312120000005677,3,N,1,13-12-2023
OR202312120000004425,4,DL202312120000005722,4,C,26,12-12-2023
OR202312120000006036,1,DL202312120000005627,1,C,2,12-12-2023
OR202312120000002106,1,DL202312120000002839,1,C,45,12-12-2023
DL202312120000002839,1,BODL202312120000002839,1,N,22,13-12-2023
OR202312120000002106,2,DL202312120000002080,2,C,50,12-12-2023
DL202312120000002080,2,BODL202312120000002080,2,N,49,13-12-2023
OR202312120000002106,3,DL202312120000002645,3,C,37,12-12-2023
OR202312120000002106,4,DL202312120000003999,4,C,22,12-12-2023
OR202312120000009087,1,DL202312120000004009,1,C,27,12-12-2023
OR202312120000009087,2,DL202312120000003884,2,C,14,12-12-2023
OR202312120000009087,3,DL202312120000009727,3,C,21,12-12-2023
DL202312120000009727,3,BODL202312120000009727,3,N,14,13-12-2023
OR202312120000009087,4,DL202312120000003846,4,C,12,12-12-2023
DL202312120000003846,4,BODL202312120000003846,4,N,12,13-12-2023
OR202312120000009994,1,DL202312120000002875,1,C,2,12-12-2023
DL202312120000002875,1,BODL202312120000002875,1,N,2,13-12-2023
OR202312120000009563,1,DL202312120000003406,1,C,27,12-12-2023
OR202312120000009563,2,DL202312120000003429,2,C,30,12-12-2023
DL202312120000003429,2,BODL202312120000003429,2,N,13,13-12-2023
OR202312120000009563,3,DL202312120000004768,3,C,18,12-12-2023
DL202312120000004768,3,BODL202312120000004768,3,N,6,13-12-2023
OR202312120000009563,4,DL202312120000003630,4,C,12,12-12-2023
OR202312120000002651,1,DL202312120000002398,1,C,26,12-12-2023
OR202312120000002651,2,DL202312120000005170,2,C,16,12-12-2023
OR202312120000002651,3,DL202312120000002831,3,C,11,12-12-2023
OR202312120000002651,4,DL202312120000004010,4,C,37,12-12-2023
OR202312120000002651,5,DL202312120000007019,5,C,44,12-12-2023
OR202312120000001315,1,DL202312120000008198,1,C,48,12-12-2023
DL202312120000008198,1,BODL202312120000008198,1,N,6,13-12-2023
OR202312120000001315,2,DL202312120000005470,2,C,22,12-12-2023
OR202312120000001315,3,DL202312120000001638,3,C,5,12-12-2023
OR202312120000006478,1,DL202312120000001538,1,C,4,12-12-2023
